date,neutral,rank_home,total_points_home,rank_change_home,rank_away,total_points_away,rank_change_away,winner,home_goals_avg,away_goals_avg,home_win_avg,away_win_avg,home_last_wins,away_last_wins,home_team_encoded,away_team_encoded,confederation_home_encoded,confederation_away_encoded,tournament_encoded
2023-03-23,True,136.0,1095.7,0.0,164.0,985.62,0.0,0,3.142857142857143,4.0,0.7142857142857143,0.42857142857142855,2,3,165,195,4,4,42
2023-03-23,False,36.0,1493.33,0.0,109.0,1186.27,0.0,0,1.4285714285714286,1.7142857142857142,0.7142857142857143,0.7142857142857143,4,1,83,61,5,5,42
2023-03-23,False,2.0,1838.38,-1.0,61.0,1391.7,1.0,0,2.142857142857143,1.0,0.8571428571428571,0.42857142857142855,2,0,8,141,3,2,42
2023-03-23,False,88.0,1265.15,0.0,147.0,1061.4,0.0,0,1.4285714285714286,0.7142857142857143,0.2857142857142857,0.2857142857142857,3,2,200,103,1,1,7
2023-03-24,False,30.0,1526.2,0.0,120.0,1156.74,0.0,0,1.4285714285714286,1.4285714285714286,0.7142857142857143,0.7142857142857143,5,0,185,105,1,1,7
2023-03-24,False,19.0,1603.98,1.0,114.0,1163.56,0.0,0,1.5714285714285714,0.7142857142857143,0.7142857142857143,0.2857142857142857,2,0,158,124,1,1,7
2023-03-24,False,3.0,1823.39,-1.0,6.0,1740.92,-2.0,0,2.2857142857142856,2.142857142857143,0.7142857142857143,0.8571428571428571,4,1,66,128,5,5,79
2023-03-24,False,38.0,1490.61,3.0,22.0,1559.83,-4.0,0,1.2857142857142858,0.7142857142857143,0.2857142857142857,0.42857142857142855,3,2,50,146,5,5,79
2023-03-24,False,29.0,1526.46,8.0,144.0,1069.12,0.0,0,2.2857142857142856,0.14285714285714285,0.7142857142857143,0.0,4,1,159,107,5,5,79
2023-03-24,False,98.0,1215.66,0.0,149.0,1054.43,1.0,0,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.14285714285714285,1,0,59,26,1,1,7
2023-03-24,False,34.0,1497.24,0.0,121.0,1151.82,-2.0,0,1.1428571428571428,1.2857142857142858,0.42857142857142855,0.5714285714285714,3,0,12,13,5,5,79
2023-03-24,False,47.0,1441.49,-1.0,129.0,1123.18,0.0,0,2.0,1.4285714285714286,0.5714285714285714,0.42857142857142855,1,0,91,43,1,1,7
